Epoch	LearningRate	TrainLoss	TestLoss	TrainAcc.	TestAcc.	EndTime.
1	0.100000	4.444022	4.199207	4.800000	7.060000	10/21 04:28:04
2	0.100000	4.266662	3.933847	7.468000	11.250000	10/21 04:31:27
3	0.100000	4.139169	3.794813	9.804000	14.230000	10/21 04:34:52
4	0.100000	4.029185	3.717266	12.222000	16.030000	10/21 04:38:31
5	0.100000	3.906799	3.360787	15.494000	23.620000	10/21 04:41:59
6	0.100000	3.784926	3.295711	18.038000	25.970000	10/21 04:45:47
7	0.100000	3.695412	3.174653	20.296000	28.500000	10/21 04:50:10
8	0.100000	3.596081	3.032188	22.878000	32.280000	10/21 04:54:49
9	0.100000	3.496297	3.025750	24.862000	33.130000	10/21 04:58:43
10	0.100000	3.416992	2.824527	27.610000	37.840000	10/21 05:02:31
11	0.100000	3.338061	2.739366	29.172000	39.920000	10/21 05:07:01
12	0.100000	3.264110	2.648659	31.654000	43.030000	10/21 05:11:36
13	0.100000	3.179961	2.638804	33.848000	43.380000	10/21 05:15:41
14	0.100000	3.116743	2.540405	35.986000	46.140000	10/21 05:19:16
15	0.100000	3.060461	2.488408	37.680000	47.720000	10/21 05:22:55
16	0.100000	3.008655	2.411575	38.796000	50.160000	10/21 05:26:23
17	0.100000	2.940415	2.370264	40.598000	51.350000	10/21 05:30:00
18	0.100000	2.908203	2.332497	42.054000	52.820000	10/21 05:33:27
19	0.100000	2.835977	2.267299	43.898000	54.750000	10/21 05:37:00
20	0.100000	2.804764	2.269903	44.792000	54.480000	10/21 05:40:31
21	0.100000	2.759169	2.152727	46.554000	57.800000	10/21 05:44:58
22	0.100000	2.729356	2.158463	47.526000	58.270000	10/21 05:49:54
23	0.100000	2.693409	2.103991	48.534000	59.790000	10/21 05:54:58
24	0.100000	2.631842	2.089523	49.712000	59.850000	10/21 05:59:54
25	0.100000	2.625387	2.060222	50.562000	60.470000	10/21 06:05:08
26	0.100000	2.612759	2.046665	51.436000	61.730000	10/21 06:10:11
27	0.100000	2.579007	2.030476	52.160000	61.370000	10/21 06:15:25
