Epoch	LearningRate	TrainLoss	TestLoss	TrainAcc.	TestAccEndTime.
1	0.100000	4.450898	4.300234	3.558000	6.2900010/17 05:27:09
2	0.100000	4.245417	4.009937	6.436000	11.590000	10/17 05:29:49
3	0.100000	4.113637	3.783780	8.888000	14.430000	10/17 05:32:30
4	0.100000	3.973418	3.652364	11.426000	17.380000	10/17 05:35:11
5	0.100000	3.842636	3.354640	13.996000	23.910000	10/17 05:37:52
6	0.100000	3.703361	3.207194	16.692000	27.740000	10/17 05:40:33
7	0.100000	3.592069	3.158649	19.254000	29.680000	10/17 05:43:13
8	0.100000	3.496282	3.072818	21.444000	31.670000	10/17 05:45:54
9	0.100000	3.406399	2.872943	23.790000	36.340000	10/17 05:48:33
10	0.100000	3.307078	2.849293	25.790000	36.300000	10/17 05:51:14
11	0.100000	3.246414	2.644822	27.802000	42.810000	10/17 05:53:56
12	0.100000	3.177625	2.561881	29.032000	45.380000	10/17 05:56:40
13	0.100000	3.098583	2.619918	31.428000	43.580000	10/17 05:59:18
14	0.100000	3.023418	2.471090	33.150000	48.740000	10/17 06:01:55
15	0.100000	2.981068	2.390042	34.256000	50.610000	10/17 06:04:31
16	0.100000	2.915484	2.380607	36.182000	51.150000	10/17 06:07:09
17	0.100000	2.866656	2.396493	37.646000	50.460000	10/17 06:09:45
18	0.100000	2.829364	2.243801	38.488000	54.940000	10/17 06:12:20
19	0.100000	2.784189	2.224184	39.724000	55.150000	10/17 06:14:59
20	0.100000	2.719984	2.234589	41.656000	55.950000	10/17 06:17:34
21	0.100000	2.700769	2.144699	42.068000	57.330000	10/17 06:20:11
22	0.100000	2.672992	2.100696	42.884000	59.370000	10/17 06:22:46
23	0.100000	2.638086	2.149711	43.780000	58.250000	10/17 06:25:25
24	0.100000	2.607651	2.085975	44.648000	60.820000	10/17 06:28:02
25	0.100000	2.590375	2.079891	45.062000	59.660000	10/17 06:30:40
26	0.100000	2.546178	2.014995	46.528000	62.610000	10/17 06:33:15
27	0.100000	2.533413	2.029230	46.340000	62.000000	10/17 06:35:53
28	0.100000	2.501706	1.994580	47.606000	63.410000	10/17 06:38:29
29	0.100000	2.487084	2.006821	48.254000	62.710000	10/17 06:41:05
30	0.100000	2.466374	1.984615	48.726000	63.830000	10/17 06:43:43
31	0.100000	2.441182	1.933587	49.428000	64.680000	10/17 06:46:18
32	0.100000	2.442784	1.999761	49.240000	62.770000	10/17 06:48:56
33	0.100000	2.398020	1.962339	50.546000	64.570000	10/17 06:51:39
34	0.100000	2.394611	1.937496	50.612000	64.940000	10/17 06:54:15
35	0.100000	2.381688	1.929945	51.282000	65.680000	10/17 06:56:51
36	0.100000	2.360927	1.858406	51.808000	67.110000	10/17 06:59:28
37	0.100000	2.357441	1.869788	51.852000	66.480000	10/17 07:02:04
38	0.100000	2.331444	1.857313	52.668000	67.440000	10/17 07:04:40
39	0.100000	2.323398	1.864271	52.650000	67.410000	10/17 07:07:17
40	0.100000	2.320370	1.900667	53.068000	66.080000	10/17 07:09:55
41	0.100000	2.309930	1.845366	53.228000	67.670000	10/17 07:12:35
42	0.100000	2.290582	1.880676	53.936000	66.690000	10/17 07:15:13
43	0.100000	2.272100	1.827435	54.404000	68.820000	10/17 07:17:51
44	0.100000	2.262177	1.824877	54.788000	69.420000	10/17 07:20:27
45	0.100000	2.254012	1.807845	54.776000	68.370000	10/17 07:23:04
46	0.100000	2.261289	1.885737	54.692000	67.460000	10/17 07:25:42
47	0.100000	2.260596	1.819973	54.494000	68.530000	10/17 07:28:17
48	0.100000	2.224092	1.794113	55.862000	70.160000	10/17 07:30:55
49	0.100000	2.244700	1.741590	55.202000	71.360000	10/17 07:33:31
50	0.100000	2.206838	1.721293	56.248000	71.390000	10/17 07:36:07
51	0.100000	2.231911	1.781285	55.538000	69.620000	10/17 07:38:42
52	0.100000	2.212008	1.756544	56.336000	70.440000	10/17 07:41:18
53	0.100000	2.209151	1.781362	56.358000	69.670000	10/17 07:43:56
54	0.100000	2.191569	1.756006	56.650000	70.930000	10/17 07:46:30
55	0.100000	2.192230	1.743605	56.820000	70.590000	10/17 07:49:06
56	0.100000	2.191209	1.744122	56.700000	71.050000	10/17 07:51:43
57	0.100000	2.171088	1.732124	57.498000	71.200000	10/17 07:54:21
